date,bm,model_usd,model_local,realized_usd,realized_local,prev_seg_usd
2026-09-01,-0.007671,-0.000561,-0.000561,-0.000629,-0.000629,-0.000629
2026-09-02,-0.022815,-0.000453,-0.000453,-0.000511,-0.00051,-0.000511
2026-09-03,-0.020978,-0.000181,-0.000181,-0.000235,-0.000235,-0.000511
2026-09-04,-0.026809,-0.000399,-0.000399,-0.000439,-0.000438,-0.000511
2026-09-07,-0.016088,0.000225,0.000224,0.000212,0.000211,-0.000511
2026-09-08,-0.018767,-0.000207,-0.000206,-0.00022,-0.00022,-0.000511
2026-09-09,-0.016737,-0.00017,-0.00017,-0.000186,-0.000187,-0.000511
2026-09-10,-0.021643,-3.9e-05,-3.9e-05,-5.7e-05,-5.7e-05,-0.000511
2026-09-11,-0.032454,0.000199,0.000199,0.000189,0.000189,-0.000511
2026-09-14,-0.038246,4.1e-05,4e-05,2.4e-05,2.3e-05,-0.000511
2026-09-15,-0.042862,0.000212,0.000211,0.00019,0.00019,-0.000511
2026-09-16,-0.032764,0.000114,0.000114,9.2e-05,9.1e-05,-0.000511
2026-09-17,-0.037311,0.000165,0.000165,0.000131,0.00013,-0.000511
2026-09-18,-0.023793,0.000271,0.00027,0.000241,0.000239,-0.000511
2026-09-21,-0.01694,0.000231,0.000231,0.000214,0.000212,-0.000511
2026-09-22,-0.016446,0.000136,0.000136,0.000115,0.000113,-0.000511
