isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
            ,688411 CH Equity,36563501W,0.0008089510258776,CHN,,,,-0.12219222462203017,-0.12046449545601479,-9.884752546225744e-05,-9.744987718097065e-05,False
CNE100000L55,002353 CH Equity,29381201W,0.0009864370943441,CHN,,,,-0.07768309534776585,-0.07586514971443659,-7.662948685450582e-05,-7.483619784628895e-05,False
CNE1000010R3,002558 CH Equity,29685501W,0.0007604276492861,CHN,,,,-0.09508196721311468,-0.09330014123775188,-7.230295681736683e-05,-7.094800707948478e-05,False
CNE100000LV8,300058 CH Equity,29404601W,0.0008555272613782,CHN,,,,-0.08297872340425527,-0.08117381317728245,-7.099055998670166e-05,-6.94464100831861e-05,False
CNE0000012M2,000977 CH Equity,27213901W,0.000400431304473,CHN,,,,-0.16471002582765903,-0.16306568536968236,-6.595505050195102e-05,-6.52966051073657e-05,False
CNE100000V46,300124 CH Equity,29534601W,0.0003816800394125,CHN,,,,-0.16857927913366733,-0.1669428775600189,-6.434334590386897e-05,-6.371876408674417e-05,False
CNE1000030S9,603986 CH Equity,32212201W,0.0007605407682026,CHN,,,,-0.08093596059113306,-0.07912685485501914,-6.15550976431957e-05,-6.017919897689188e-05,False
CNE000000TY6,600104 CH Equity,24380401W,-0.0006258766931217,CHN,,,,0.08653846153846168,0.08868070810182194,-5.416240613553182e-05,-5.550318833045907e-05,False
CNE100003JT0,300757 CH Equity,33165201W,-0.0007065948592816,CHN,,,,0.07587538394032478,0.0779931957706601,-5.361315623825116e-05,-5.510959119049186e-05,False
CNE100002YB9,603179 CH Equity,32373801W,0.0007795290532767,CHN,,,,-0.07173528668855778,-0.06990751976809506,-5.591974011886411e-05,-5.449494270174534e-05,False
CNE100000QD5,002436 CH Equity,29484201W,-0.0002816862609427,CHN,,,,0.18855873368508735,0.19089726772489524,-5.3114404659842595e-05,-5.377313756960331e-05,False
CNE1000023J3,601689 CH Equity,31939401W,0.0004952740714083,CHN,,,,-0.10463378176382654,-0.1028713351450159,-5.1822399101017906e-05,-5.094950498847977e-05,False
CNE100001WV3,002738 CH Equity,31888101W,0.0002864097917458,CHN,,,,-0.17927326659251008,-0.17765772184948692,-5.13456189503501e-05,-5.088291111694481e-05,False
CNE100000HP8,002311 CH Equity,29316801W,0.0006094310153038,CHN,,,,-0.08479342418343061,-0.08299080851360696,-5.167574259119391e-05,-5.057717269333074e-05,False
CNE100000619,601168 CH Equity,28541101W,0.0006244721266299,CHN,,,,-0.0814720812182741,-0.07966349408829443,-5.0877043819339556e-05,-4.974763156808569e-05,False
CNE1000019R4,601100 CH Equity,30319201W,0.0004978471933568,CHN,,,,-0.09658536585365862,-0.09480694260622402,-4.808475330958365e-05,-4.719937028724785e-05,False
CNE1000018M7,300274 CH Equity,30639201W,0.000610736085895,CHN,,,,-0.06907103825136607,-0.06723827609528488,-4.218417555034314e-05,-4.106484156476163e-05,False
CNE100002TP9,603605 CH Equity,32595101W,0.0006394958210373,CHN,,,,-0.06414719045251116,-0.06230488653765831,-4.102186022566468e-05,-3.984371457103562e-05,False
CNE100002BZ6,002821 CH Equity,32287801W,-0.0002888365930389,CHN,,,,0.1292079207920791,0.13143064088533785,-3.731997563522417e-05,-3.796197853424014e-05,False
CNE0000012K6,000301 CH Equity,32958001W,0.0005854600856521,CHN,,,,-0.06643835616438354,-0.06460089834689464,-3.889700569058471e-05,-3.7821247479375544e-05,False
CNE000001N70,002056 CH Equity,27823101W,0.0005268371590947,CHN,,,,-0.07169811320754715,-0.06987011669846666,-3.7773230274714335e-05,-3.6810173787035335e-05,False
CNE0000001J1,000703 CH Equity,27193201W,0.0003516422716195,CHN,,,,-0.1045081967213114,-0.10274653971794534,-3.6749499697939524e-05,-3.613002662746148e-05,False
CNE000001527,000157 CH Equity,25989601W,0.0005100736228839,CHN,,,,-0.07025411061285514,-0.0684176166323508,-3.583476872278527e-05,-3.489802158474495e-05,False
CNE100003RC9,688200 CH Equity,33702601W,0.0004124466292385,CHN,,,,-0.08604322359119365,-0.08424412981791085,-3.548823753900241e-05,-3.474620737652794e-05,False
CNE000000SH3,000783 CH Equity,25137601W,0.000382838737462,CHN,,,,-0.0897297297297297,-0.08793811063087931,-3.43520164425362e-05,-3.366611524871951e-05,False
CNE100001TW7,603019 CH Equity,31862501W,0.000596523268488,CHN,,,,-0.05630452022204602,-0.0544470646982792,-3.3586956433503583e-05,-3.247894099339511e-05,False
CNE100000BN6,002240 CH Equity,28883501W,0.0001890907736066,CHN,,,,-0.17320662170447576,-0.17157870452382606,-3.275177409188503e-05,-3.244394997282851e-05,False
