date,bm,model_usd,model_local,realized_usd,realized_local,prev_seg_usd
2026-09-01,-0.00692,0.000923,0.000962,0.000902,0.000918,0.000902
2026-09-02,-0.004658,0.001439,0.001451,0.001054,0.00103,0.001054
2026-09-03,0.007021,0.001934,0.001863,0.001291,0.001163,0.001291
2026-09-04,0.004266,0.002355,0.00232,0.001446,0.001338,0.001446
2026-09-07,0.005891,0.002318,0.002246,0.001618,0.001436,0.001618
2026-09-08,0.000112,0.002447,0.002363,0.001571,0.001392,0.001571
2026-09-09,-0.005426,0.002824,0.002718,0.001959,0.001762,0.001571
2026-09-10,-0.011889,0.002891,0.002815,0.002076,0.001902,0.001571
2026-09-11,-0.005508,0.003409,0.00333,0.002572,0.002402,0.001571
2026-09-14,-0.010923,0.003243,0.003185,0.002409,0.002262,0.001571
2026-09-15,-0.015411,0.003057,0.003028,0.002255,0.002125,0.001571
2026-09-16,-0.017574,0.003573,0.00356,0.002754,0.002639,0.001571
2026-09-17,-0.008314,0.004068,0.004133,0.003239,0.003202,0.001571
2026-09-18,-0.009942,0.003424,0.003492,0.002613,0.002572,0.001571
2026-09-21,0.003005,0.00323,0.00332,0.0024,0.00238,0.001571
2026-09-22,0.003111,0.002739,0.002847,0.00189,0.001888,0.001571
