isin,ticker,gvkeyiid,ls_weight,country,figi,bbg_ticker,exch,mtd_local,mtd_usd,contrib_local,contrib_usd,missing_px
KYG254571055,CRDO,04053201,0.0005186660727131,CYM,BBG00T68J2G0,,US,-0.2860427074583315,-0.2860427074583315,-0.00014836064770563494,-0.00014836064770563494,False
US30212P3038,EXPE,12629602,0.0014685512903406,USA,BBG000QY3XZ2,,US,-0.09507331618371706,-0.09507331618371706,-0.00013962004115855754,-0.00013962004115855754,False
JP3436100006,9984,20422201W,-0.0004775873262942,JPN,BBG000CLY2D3,,JP,0.1890384615384615,0.22399204302270537,-9.028237341292279e-05,-0.00010697576093838927,False
US00724F1012,ADBE,01254001,0.0007355069477171,USA,BBG000BB5006,,US,-0.14443799310085736,-0.14443799310085736,-0.00010623514743999515,-0.00010623514743999515,False
CA4969024047,K,00864401C,0.0009925320322789,CAN,BBG000BK4N16,,CN,-0.08341187558906693,-0.08867199708430529,-8.278895839461137e-05,-8.800979747231422e-05,False
CA5503721063,LUN,10829701C,0.0005943757423159,CAN,BBG000K1XDF3,,CN,-0.1408057127458906,-0.145736546443328,-8.369150003565811e-05,-8.662226797480872e-05,False
CA6979001089,PAAS,02067001C,0.0009886736295899,CAN,BBG000BC8SH2,,CN,-0.07642074682936062,-0.08172100710797692,-7.55551771437548e-05,-8.079540471118556e-05,False
CH0023405456,AVOL,27468901W,0.0010039033432312,CHE,BBG000HHBQD9,,SW,-0.06576063130206056,-0.07819273569519569,-6.601731761713289e-05,-7.849794878080054e-05,False
US9581021055,WDC,01139901,0.0009655956965586,USA,BBG000BWNFZ9,,US,-0.07424037287759411,-0.07424037287759411,-7.168618456151068e-05,-7.168618456151068e-05,False
US2567461080,DLTR,03158701,0.0005707514781797,USA,BBG000BSC0K9,,US,-0.11209416225610236,-0.11209416225610236,-6.397790880298556e-05,-6.397790880298556e-05,False
US0527691069,ADSK,00187801,0.0003956725228506,USA,BBG000BM7HL0,,US,-0.14783584110161285,-0.14783584110161285,-5.849458021641558e-05,-5.849458021641558e-05,False
US2435371073,DECK,02901501,0.0005532897346424,USA,BBG000BKXYX5,,US,-0.10473128158015621,-0.10473128158015621,-5.79467429942431e-05,-5.79467429942431e-05,False
CA0084741085,AEM,00118601C,0.0010982971507015,CAN,BBG000CZ8PQ6,,CN,-0.046642310368823825,-0.05211340643446383,-5.1227116580214235e-05,-5.7236005800320834e-05,False
US1011371077,BSX,02527901,0.0006275239578484,USA,BBG000C0LW92,,US,-0.09089026915113874,-0.09089026915113874,-5.703582142762892e-05,-5.703582142762892e-05,False
CA29446Y5020,EQX,01835101C,0.0005862079433249,CAN,BBG000QSL9D2,,CN,-0.09157303370786507,-0.09678642591789433,-5.368083975390933e-05,-5.673697167909663e-05,False
US9553061055,WST,01137601,-0.0009089635518289,USA,BBG000BX24N8,,US,0.06127055788455338,0.06127055788455338,-5.569270391728185e-05,-5.569270391728185e-05,False
US1921085049,CDE,00315301,0.0006370313726543,USA,BBG000BF8TF5,,US,-0.08662175168431185,-0.08662175168431185,-5.518077337717711e-05,-5.518077337717711e-05,False
CA06849F1080,ABX,00205501C,0.0010535075436597,CAN,BBG000CZ62D3,,CN,-0.04619236139735361,-0.05166475976720397,-4.866400119156714e-05,-5.442921415611555e-05,False
US3032501047,FICO,01382401,0.0003933847210212,USA,BBG000DW76Y6,,US,-0.13586004306099142,-0.13586004306099142,-5.3445265137476326e-05,-5.3445265137476326e-05,False
DE000ZAL1111,ZAL,31843401W,0.0003899400828043,DEU,BBG001XVXHF2,,GR,-0.1296371789645332,-0.13578088537188782,-5.055073229994593e-05,-5.29464096851551e-05,False
